Product,Month,Units to order,Order date
Product_3,Jan,56,order between 25 to last day of previous month
Product_3,Feb,59,order between 25 to last day of previous month
Product_3,Mar,43,order between 25 to last day of previous month
Product_3,Apr,28,order between 25 to last day of previous month
Product_3,May,155,order before 2nd week of current month
Product_3,Jun,78,order between 25 to last day of previous month
Product_3,Jul,71,order before 2nd week of current month
Product_3,Aug,42,order before 2nd week of current month
Product_3,Sep,55,order between 25 to last day of previous month
Product_3,Oct,46,order before 2nd week of current month
Product_3,Nov,62,order between 25 to last day of previous month
Product_3,Dec,56,order between 25 to last day of previous month
